,SchoolCode,TOTAL_EL
0,0100065,60
1,0100081,239
2,0100198,167
3,0100255,503
4,0100354,42
5,0100420,92
6,0100529,240
7,0100602,71
8,0100677,26
9,0100750,93
10,0100800,107
11,0101162,148
12,0101196,4
13,0101477,137
14,0101576,172
15,0101659,6
16,0101675,78
17,0101832,251
18,0101881,26
19,0101899,9
20,0101907,13
21,0101956,11
22,0101972,229
23,0102038,17
24,0102103,53
25,0102236,164
26,0102285,426
27,0102368,123
28,0102392,24
29,0102434,98
30,0102459,120
31,0102475,30
32,0102830,222
33,0102871,229
34,0102913,4
35,0105726,229
36,0105734,57
37,0105858,313
38,0105916,238
39,0106328,15
40,0106401,2
41,0106567,56
42,0106732,26
43,0106831,21
44,0106849,38
45,0106997,22
46,0107003,71
47,0107078,35
48,0107086,31
49,0107094,34
50,0107102,35
51,0107110,1
52,0107136,8
53,0107151,132
54,0107177,351
55,0107219,197
56,0107300,110
57,0107482,3
58,0107524,1
59,0107649,1
60,0107722,189
61,0107755,34
62,0107797,104
63,0107920,164
64,0108076,382
65,0108084,38
66,0108092,95
67,0108159,292
68,0108191,291
69,0108225,253
70,0108365,317
71,0108407,291
72,0108555,3
73,0108670,65
74,0108688,1
75,0108753,108
76,0108787,36
77,0108878,29
78,0108894,77
79,0108936,75
80,0108944,98
81,0108951,23
82,0109108,324
83,0109447,302
84,0109454,231
85,0109462,213
86,0109512,40
87,0109538,261
88,0109751,37
89,0109900,223
90,0109991,220
91,0110189,29
92,0110205,10
93,0110460,38
94,0110478,1
95,0110593,90
96,0110627,284
97,0110668,15
98,0110759,6
99,0110965,402
100,0110999,56
101,0111195,7
102,0111435,101
103,0111443,1
104,0111484,14
105,0111492,91
106,0111500,79
107,0111575,99
108,0111583,80
109,0111625,66
110,0111658,36
111,0111666,5
112,0111799,33
113,0111831,140
114,0111856,69
115,0111872,11
116,0112029,125
117,0112037,106
118,0112045,122
119,0112052,296
120,0112367,1
121,0112425,45
122,0112508,75
123,0112722,50
124,0112870,149
125,0113118,78
126,0113159,198
127,0113191,307
128,0113555,39
129,0113571,30
130,0113787,6
131,0114025,362
132,0114157,452
133,0114207,9
134,0114264,23
135,0114421,80
136,0114462,107
137,0114496,3
138,0114512,96
139,0114553,2
140,0114678,49
141,0114694,5
142,0114736,290
143,0114850,262
144,0115238,154
145,0115253,20
146,0115402,39
147,0115667,260
148,0115998,6
149,0116368,179
150,0116376,180
151,0116384,269
152,0116392,70
153,0116400,377
154,0116459,203
155,0116509,75
156,0116590,40
157,0116889,77
158,0116897,102
