,School Code,Percent Eligible FRPM,School Type,Educational Option Type
7,0130625,0.8962264150943396,High Schools (Public),Traditional
18,0106401,0.4549763033175355,Alternative Schools of Choice,Alternative School of Choice
22,0130229,0.30406852248394006,High Schools (Public),Traditional
38,0130450,0.31016042780748665,High Schools (Public),Traditional
44,0131177,0.24798011187072716,High Schools (Public),Traditional
63,0132225,0.40048712595685454,High Schools (Public),Traditional
64,0133876,0.4,K-12 Schools (Public),Traditional
77,0132746,0.6049382716049383,High Schools (Public),Traditional
81,0130062,0.2494270435446906,High Schools (Public),Traditional
85,0134270,0.24663885025498378,High Schools (Public),Traditional
86,0134452,0.5271013354281225,High Schools (Public),Traditional
87,0135244,0.18004459308807136,High Schools (Public),Traditional
88,0138693,0.3643331630045989,High Schools (Public),Traditional
125,0108670,0.5235602094240838,High Schools (Public),Traditional
130,0133629,0.7506329113924051,High Schools (Public),Traditional
131,0135319,0.7501340482573726,High Schools (Public),Traditional
133,0138339,0.8385175380542687,High Schools (Public),Traditional
160,0133397,0.1567717996289425,High Schools (Public),Traditional
161,0134536,0.2348111658456486,High Schools (Public),Traditional
178,0130054,0.38917337234820776,High Schools (Public),Traditional
189,0110460,0.7857142857142857,Continuation High Schools,Continuation School
190,0110478,0.36363636363636365,Alternative Schools of Choice,Alternative School of Choice
192,0134668,0.5277777777777778,High Schools (Public),Traditional
203,0100065,0.7288135593220338,High Schools (Public),Traditional
207,0108944,0.9288256227758007,High Schools (Public),Traditional
209,0110189,0.9597069597069597,High Schools (Public),Traditional
214,0111856,0.6321243523316062,High Schools (Public),Traditional
223,0115238,0.7651515151515151,High Schools (Public),Traditional
229,0115667,0.9925925925925926,Alternative Schools of Choice,Alternative School of Choice
232,0119859,0.8173076923076923,Alternative Schools of Choice,Alternative School of Choice
236,0125161,0.9902642559109874,High Schools (Public),Traditional
237,0125716,0.9905660377358491,High Schools (Public),Traditional
238,0126748,0.7052023121387283,High Schools (Public),Traditional
242,0130146,0.993993993993994,Continuation High Schools,Continuation School
243,0130179,0.9090909090909091,Alternative Schools of Choice,Alternative School of Choice
252,0135905,0.902469917669411,High Schools (Public),Traditional
253,0136051,0.7019867549668874,High Schools (Public),Traditional
254,0137943,0.76,High Schools (Public),Traditional
256,0149187,0.949748743718593,Alternative Schools of Choice,Alternative School of Choice
314,0130286,0.18032786885245902,Continuation High Schools,Continuation School
315,0136515,0.03547066848567531,High Schools (Public),Traditional
322,0137588,0.7533864541832669,High Schools (Public),Traditional
337,0111799,0.7597402597402597,Alternative Schools of Choice,Alternative School of Choice
338,0114421,0.7326283987915407,High Schools (Public),Traditional
339,0130849,0.6457638425617078,High Schools (Public),Traditional
341,0137810,0.815354713313897,High Schools (Public),Traditional
360,0132704,0.16925297726452543,High Schools (Public),Traditional
373,0130096,0.08852005532503458,High Schools (Public),Traditional
375,0130583,0.08246225319396051,High Schools (Public),Traditional
390,0138289,0.7043701799485861,High Schools In 1 School Dist. (Public),Traditional
394,0330035,0.5,County Community,County Community School
399,0330753,0.34308943089430893,High Schools (Public),Traditional
400,0334755,0.3440134907251265,High Schools (Public),Traditional
411,0134213,0.956989247311828,High Schools (Public),Traditional
418,0430827,0.639751552795031,High Schools (Public),Traditional
425,0120394,0.4036144578313253,High Schools (Public),Traditional
433,0431502,0.9052631578947369,Continuation High Schools,Continuation School
434,0431676,0.5681818181818182,High Schools (Public),Traditional
435,0437558,0.46309403437815977,High Schools (Public),Traditional
453,0433201,0.3875,High Schools (Public),Traditional
467,0434803,0.7454545454545455,High Schools (Public),Traditional
468,0435602,0.8176605504587156,High Schools (Public),Traditional
479,0437350,0.498989898989899,High Schools (Public),Traditional
495,0433953,0.7059701492537314,High Schools (Public),Traditional
502,9010745,0.875,County Community,County Community School
505,0532507,0.4150268336314848,High Schools (Public),Traditional
529,0631259,0.6612529002320185,High Schools (Public),Traditional
533,0634758,0.717948717948718,High Schools (Public),Traditional
536,0635250,0.7602591792656588,High Schools (Public),Traditional
553,0731380,0.22334597555836494,High Schools (Public),Traditional
557,0107524,0.16393442622950818,Alternative Schools of Choice,Alternative School of Choice
558,0730283,0.0732484076433121,High Schools (Public),Traditional
559,0731125,0.05447761194029851,High Schools (Public),Traditional
560,0733725,0.15409004438807863,High Schools (Public),Traditional
561,0734244,0.04627249357326478,High Schools (Public),Traditional
569,0117218,0.8061674008810573,Alternative Schools of Choice,Alternative School of Choice
574,0730465,0.82560706401766,High Schools (Public),Traditional
575,0730861,0.902027027027027,High Schools (Public),Traditional
613,0737023,0.7407407407407407,High Schools (Public),Traditional
627,0107797,0.19446609508963367,High Schools (Public),Traditional
628,0730457,0.3930894308943089,High Schools (Public),Traditional
629,0730572,0.27607361963190186,Alternative Schools of Choice,Alternative School of Choice
