,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
4,1,10017.0,0130625,Alternatives in Action,Yes,Yes,17.2
7,1,61119.0,0106401,Alameda Science and Technology Institute,No ,No ,8.0
9,1,61119.0,0130229,Alameda High,No ,No ,10.9
13,1,61127.0,0130450,Albany High,No ,No ,18.3
15,1,61143.0,0131177,Berkeley High,No ,No ,13.5
18,1,61150.0,0132225,Castro Valley High,No ,No ,14.9
19,1,61150.0,0133876,Castro Valley Virtual Academy,No ,No ,19.4
21,1,61168.0,0132746,Emery Secondary,No ,No ,39.2
23,1,61176.0,0130062,American High,No ,No ,9.9
26,1,61176.0,0134270,Irvington High,No ,No ,10.7
27,1,61176.0,0134452,John F. Kennedy High,No ,No ,15.9
28,1,61176.0,0135244,Mission San Jose High,No ,No ,10.8
29,1,61176.0,0138693,Washington High,No ,No ,12.7
31,1,61192.0,0108670,Leadership Public Schools - Hayward,Yes,No ,5.5
33,1,61192.0,0133629,Hayward High,No ,No ,34.7
34,1,61192.0,0135319,Mt. Eden High,No ,No ,25.8
36,1,61192.0,0138339,Tennyson High,No ,No ,32.8
39,1,61200.0,0133397,Granada High,No ,No ,10.1
40,1,61200.0,0134536,Livermore High,No ,No ,16.5
42,1,61234.0,0130054,Newark Memorial High,No ,No ,11.1
45,1,61242.0,0110478,Alternative Learning Academy at Conley-Caraballo High,No ,No ,73.3
47,1,61242.0,0134668,James Logan High,No ,No ,23.7
48,1,61242.0,0110460,Core Learning Academy at Conley-Caraballo High,No ,Yes,75.3
49,1,61259.0,0100065,Oakland Unity High,Yes,No ,13.3
51,1,61259.0,0108944,Lighthouse Community Charter High,Yes,No ,27.0
52,1,61259.0,0110189,McClymonds High,No ,No ,50.5
53,1,61259.0,0111856,AIMS College Prep High,Yes,No ,16.7
56,1,61259.0,0115238,ARISE High,Yes,No ,25.1
59,1,61259.0,0125161,Castlemont High,No ,No ,58.2
60,1,61259.0,0125716,Fremont High,No ,No ,34.5
61,1,61259.0,0126748,LPS Oakland R & D Campus,Yes,No ,1.7
67,1,61259.0,0135905,Oakland High,No ,No ,25.4
68,1,61259.0,0136051,Oakland Technical High,No ,No ,24.3
69,1,61259.0,0137943,Skyline High,No ,No ,41.8
70,1,61259.0,0149187,MetWest High,No ,No ,89.3
73,1,61259.0,0115667,Oakland International High,No ,Yes,59.4
75,1,61259.0,0119859,Gateway to College High at Laney College,No ,Yes,*
76,1,61259.0,0130146,Rudsdale Continuation High,No ,Yes,96.8
77,1,61259.0,0130179,Street Academy Alternative High,No ,Yes,91.0
80,1,61275.0,0136515,Piedmont High,No ,No ,4.5
81,1,61275.0,0130286,Millennium High Alternative,No ,Yes,23.9
82,1,61291.0,0137588,San Leandro High,No ,No ,19.2
85,1,61309.0,0111799,East Bay Arts High,No ,No ,29.9
86,1,61309.0,0114421,KIPP King Collegiate High,Yes,No ,16.4
87,1,61309.0,0130849,Arroyo High,No ,No ,14.7
88,1,61309.0,0137810,San Lorenzo High,No ,No ,29.4
90,1,75093.0,0132704,Dublin High,No ,No ,13.3
95,1,75101.0,0130096,Foothill High,No ,No ,9.2
96,1,75101.0,0130583,Amador Valley High,No ,No ,6.7
99,1,77180.0,0138289,Latitude 37.8 High,Yes,No ,22.9
101,3,10033.0,0330035,County Community,No ,Yes,78.3
104,3,73981.0,0330753,Amador High,No ,No ,28.1
105,3,73981.0,0334755,Argonaut High,No ,No ,31.2
109,4,10041.0,0134213,Come Back Butte Charter,Yes,Yes,63.1
114,4,61408.0,0430827,Biggs High,No ,No ,18.3
115,4,61424.0,0120394,Inspire School of Arts and Sciences,Yes,No ,26.4
118,4,61424.0,0431676,Chico High,No ,No ,20.2
119,4,61424.0,0437558,Pleasant Valley High,No ,No ,16.6
123,4,61424.0,0431502,Fair View High (Continuation),No ,Yes,89.5
124,4,61432.0,0433201,Durham High,No ,No ,17.3
126,4,61515.0,0434803,Las Plumas High,No ,No ,25.9
127,4,61515.0,0435602,Oroville High,No ,No ,31.3
131,4,61531.0,0437350,Paradise Senior High,No ,No ,29.8
134,4,75507.0,0433953,Gridley High,No ,No ,16.5
139,5,10058.0,9010745,Oakendell Community,No ,Yes,7.7
140,5,61556.0,0532507,Bret Harte Union High,No ,No ,16.0
148,6,61598.0,0631259,Colusa High,No ,No ,14.1
150,6,61606.0,0634758,Maxwell Sr High,No ,No ,4.2
151,6,61614.0,0635250,Pierce High,No ,No ,10.5
159,7,10074.0,0731380,Clayton Valley Charter High,Yes,No ,0.1
165,7,61630.0,0107524,Acalanes Center for Independent Study,No ,No ,73.3
166,7,61630.0,0730283,Acalanes High,No ,No ,10.6
167,7,61630.0,0731125,Campolindo High,No ,No ,9.8
168,7,61630.0,0733725,Las Lomas High,No ,No ,14.5
169,7,61630.0,0734244,Miramonte High,No ,No ,8.2
170,7,61648.0,0117218,Dozier-Libbey Medical High,No ,No ,22.1
172,7,61648.0,0730465,Deer Valley High,No ,No ,36.6
173,7,61648.0,0730861,Antioch High,No ,No ,34.6
177,7,61697.0,0737023,John Swett High,No ,No ,23.5
179,7,61721.0,0107797,Heritage High,No ,No ,16.6
180,7,61721.0,0730457,Freedom High,No ,No ,25.1
181,7,61721.0,0733980,Liberty High,No ,No ,19.8
182,7,61721.0,0730572,Independence High,No ,Yes,0.0
185,7,61739.0,0730549,Alhambra Senior High,No ,No ,12.6
189,7,61754.0,0730044,Northgate High,No ,No ,13.0
191,7,61754.0,0731646,College Park High,No ,No ,20.1
192,7,61754.0,0731836,Concord High,No ,No ,25.3
193,7,61754.0,0734566,Mt. Diablo High,No ,No ,33.8
194,7,61754.0,0737809,Ygnacio Valley High,No ,No ,37.0
197,7,61788.0,0735407,Pittsburg Senior High,No ,No ,35.2
199,7,61796.0,0101477,Leadership Public Schools: Richmond,Yes,No ,5.5
202,7,61796.0,0730291,Middle College High,No ,No ,2.7
204,7,61796.0,0730598,Hercules High,No ,No ,20.1
205,7,61796.0,0732164,De Anza High,No ,No ,30.4
206,7,61796.0,0732941,El Cerrito High,No ,No ,19.8
207,7,61796.0,0733659,John F. Kennedy High,No ,No ,49.7
208,7,61796.0,0735316,Pinole Valley High,No ,No ,18.2
209,7,61796.0,0735902,Richmond High,No ,No ,39.2
211,7,61804.0,0113118,Dougherty Valley High,No ,No ,7.3
212,7,61804.0,0730051,California High,No ,No ,8.7
214,7,61804.0,0734368,Monte Vista High,No ,No ,7.4
215,7,61804.0,0736504,San Ramon Valley High,No ,No ,13.5
217,7,77354.0,0132233,John Henry High,Yes,No ,15.8
219,8,10082.0,0830042,Del Norte Community,No ,Yes,89.6
221,8,61820.0,0833004,Del Norte High,No ,No ,20.8
225,9,10090.0,0930123,Mountainside Middle College High,Yes,Yes,0.0
226,9,10090.0,0930131,Rite of Passage,Yes,Yes,0.0
230,9,61853.0,0930081,Oak Ridge High,No ,No ,10.0
231,9,61853.0,0930164,Union Mine High,No ,No ,19.5
232,9,61853.0,0930214,Pacific Crest Academy,Yes,No ,4.9
233,9,61853.0,0932756,El Dorado High,No ,No ,16.5
234,9,61853.0,0936302,Ponderosa High,No ,No ,10.8
237,9,61903.0,0937805,South Tahoe High,No ,No ,32.5
243,10,10108.0,0136291,Career Technical Education Charter,Yes,No ,12.8
244,10,10108.0,0109991,Crescent View West Public Charter,Yes,Yes,64.7
249,10,62117.0,0113555,Clovis North High,No ,No ,12.9
251,10,62117.0,1030196,Clovis West High,No ,No ,18.2
253,10,62117.0,1030501,Buchanan High,No ,No ,15.5
254,10,62117.0,1030683,Clovis East High,No ,No ,16.8
255,10,62117.0,1031053,Clovis High,No ,No ,22.0
264,10,62158.0,1032150,Fowler High,No ,No ,20.6
266,10,62166.0,0108555,Design Science Middle College High,No ,No ,15.0
268,10,62166.0,0114553,University High,Yes,No ,2.4
269,10,62166.0,0132134,Phillip J Patino School of Entrepreneurship,No ,No ,23.4
272,10,62166.0,1030279,Bullard High,No ,No ,25.9
274,10,62166.0,1030295,Erma Duncan Polytechnical High,No ,No ,19.3
275,10,62166.0,1030675,Sunnyside High,No ,No ,39.2
276,10,62166.0,1031897,Edison High,No ,No ,31.6
277,10,62166.0,1032507,Fresno High,No ,No ,36.2
278,10,62166.0,1032911,Herbert Hoover High,No ,No ,37.0
279,10,62166.0,1034214,McLane High,No ,No ,39.2
280,10,62166.0,1035831,Roosevelt High,No ,No ,34.2
282,10,62166.0,6112619,Fulton,No ,No ,70.0
285,10,62166.0,1030642,School of Unlimited Learning,Yes,Yes,27.5
286,10,62166.0,1030717,Florence E. Rata,No ,Yes,48.3
289,10,62257.0,0124727,Kingsburg Independent Study High,No ,No ,40.4
290,10,62257.0,1033695,Kingsburg High,No ,No ,11.9
292,10,62265.0,0108092,Orange Cove High,No ,No ,8.2
293,10,62265.0,0126292,Reedley Middle College High,Yes,No ,0.4
294,10,62265.0,1035310,Reedley High,No ,No ,5.4
298,10,62281.0,0140434,Laton Online Academy,No ,No ,0.0
