,SchoolCode,School Name,Charter School,DASS,ChronicAbsenteeismRate,College Going Rate - Total (12 Months),TOTAL_EL,Percent Eligible FRPM,School Type,Educational Option Type,Met UC/CSU Grad Req's (Rate),Dropout (Rate),Homeless Student Enrollment (Rate),SPED_ENR_N,Stability Rate (percent),CumulativeEnrollment,STU_TCH_RATIO,Percentage Standard Met and Above,Students Tested with Scores (Rate),Expulsion Rate,Suspension Rate
1,130229,Alameda High,No ,No ,10.9,82.8,100,0.30406852248394,High Schools (Public),Traditional,77.1,0.2,0.0052521008403361,235,96.7,1904,23.8,67.6,0.9976744186046512,0.0,0.012605042016806723
2,130450,Albany High,No ,No ,18.3,81.5,72,0.3101604278074866,High Schools (Public),Traditional,77.6,0.0,0.0061188811188811,92,97.2,1144,18.8,70.86,0.936026936026936,0.0,0.007867132867132868
3,132746,Emery Secondary,No ,No ,39.2,60.0,18,0.6049382716049383,High Schools (Public),Traditional,11.4,4.3,0.0113636363636363,24,86.9,176,11.7,2.94,0.9714285714285714,0.0,0.08522727272727272
4,134270,Irvington High,No ,No ,10.7,88.1,160,0.2466388502549837,High Schools (Public),Traditional,70.0,3.0,0.0139639639639639,158,94.6,2220,25.4,71.31,0.990138067061144,0.0,0.013063063063063063
5,134452,John F. Kennedy High,No ,No ,15.9,75.4,267,0.5271013354281225,High Schools (Public),Traditional,54.3,3.6,0.0266075388026607,207,88.3,1353,20.6,34.23,0.9738562091503268,0.0022172949002217295,0.082039911308204
6,138693,Washington High,No ,No ,12.7,82.0,306,0.3643331630045989,High Schools (Public),Traditional,61.6,2.3,0.0112085769980506,239,91.2,2052,24.3,53.92,0.9863636363636364,0.0014619883040935672,0.05701754385964912
7,108670,Leadership Public Schools - Hayward,Yes,No ,5.5,81.0,65,0.5235602094240838,High Schools (Public),Traditional,96.2,2.1,0.0050847457627118,47,94.7,590,25.4,29.8,0.993421052631579,0.0,0.04406779661016949
8,133629,Hayward High,No ,No ,34.7,61.3,168,0.7506329113924051,High Schools (Public),Traditional,34.1,13.5,0.0213396561944279,215,84.5,1687,19.1,30.05,0.9457364341085271,0.004149377593360996,0.07468879668049792
9,135319,Mt. Eden High,No ,No ,25.8,70.2,207,0.7501340482573726,High Schools (Public),Traditional,43.8,6.7,0.0179303278688524,262,90.3,1952,21.7,21.77,0.842741935483871,0.0005122950819672131,0.05584016393442623
10,138339,Tennyson High,No ,No ,32.8,54.8,607,0.8385175380542687,High Schools (Public),Traditional,29.5,19.5,0.0400943396226415,198,79.5,1696,17.8,9.28,0.934959349593496,0.0023584905660377358,0.19929245283018868
11,133397,Granada High,No ,No ,10.1,80.9,120,0.1567717996289425,High Schools (Public),Traditional,64.9,0.0,0.0072727272727272,282,94.5,2200,21.8,57.06,0.9619565217391304,0.0022727272727272726,0.03272727272727273
12,134536,Livermore High,No ,No ,16.5,70.9,193,0.2348111658456486,High Schools (Public),Traditional,49.4,1.1,0.0159151193633952,280,93.5,1885,21.7,35.38,0.9271070615034168,0.0015915119363395225,0.042440318302387266
