,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
66405,0130625,68.8,4.5
66505,0106401,91.3,0.0
66539,0130229,77.1,0.2
66635,0130450,77.6,0.0
66669,0131177,69.9,3.1
66702,0132225,68.2,1.0
66716,0133876,47.1,5.3
66750,0132746,11.4,4.3
66783,0130062,76.4,1.1
66850,0134270,70.0,3.0
66868,0134452,54.3,3.6
66886,0135244,91.6,1.2
66904,0138693,61.6,2.3
66936,0108670,96.2,2.1
66991,0133629,34.1,13.5
67008,0135319,43.8,6.7
67041,0138339,29.5,19.5
67105,0133397,64.9,0.0
67124,0134536,49.4,1.1
67142,0130054,40.4,4.5
67206,0110460,0.0,6.3
67223,0110478,*,*
67259,0134668,52.4,1.2
67291,0100065,100.0,7.1
67324,0108944,91.0,10.7
67341,0110189,57.4,4.6
67357,0111856,100.0,7.6
67407,0115238,100.0,1.0
67424,0115667,68.3,45.4
67475,0119859,16.7,10.2
67508,0125161,34.9,31.3
67525,0125716,69.7,22.8
67540,0126748,94.6,15.9
67573,0130146,3.0,25.5
67590,0130179,14.3,43.8
67690,0135905,66.8,17.5
67708,0136051,79.9,4.0
67725,0137943,71.0,6.1
67742,0149187,82.4,1.9
67819,0130286,85.0,0.0
67835,0136515,93.1,1.4
67884,0137588,48.7,3.6
67939,0111799,28.2,9.3
67955,0114421,100.0,1.3
67974,0130849,47.7,6.4
68010,0137810,34.4,10.4
68054,0132704,82.3,1.0
68125,0130096,83.1,2.1
68157,0130583,80.7,1.4
68189,0138289,94.7,6.9
68212,0330035,*,*
68266,0330753,27.2,0.7
68283,0334755,32.5,1.6
68333,0134213,0.0,32.8
68396,0430827,26.5,5.6
68441,0120394,40.7,0.0
68522,0431502,0.0,28.6
68540,0431676,45.1,5.3
68558,0437558,43.9,4.9
68575,0433201,47.8,0.0
68615,0434803,16.6,7.4
68633,0435602,22.0,7.7
68712,0437350,19.8,3.3
68761,0433953,47.1,3.4
68808,9010745,*,*
68843,0532507,39.7,2.4
68971,0631259,29.4,0.9
68988,0634758,44.4,0.0
69024,0635250,44.1,0.0
69188,0731380,97.8,3.3
69234,0107524,33.3,9.1
69251,0730283,82.3,0.6
