,School Code,Homeless Student Enrollment (Rate)
3602,0130625,0.016129032258064516
3615,0130229,0.005252100840336135
3616,0106401,0.0
3633,0130450,0.006118881118881119
3641,0131177,0.02815622161671208
3662,0132225,0.008088978766430738
3663,0133876,0.0
3679,0132704,0.002840909090909091
3694,0132746,0.011363636363636364
3696,0130062,0.007832898172323759
3709,0134270,0.013963963963963964
3713,0134452,0.026607538802660754
3721,0135244,0.0016366612111292963
3737,0138693,0.011208576998050682
3754,0133629,0.02133965619442798
3758,0108670,0.005084745762711864
3762,0135319,0.017930327868852458
3770,0138339,0.04009433962264151
3780,0133397,0.007272727272727273
3786,0134536,0.015915119363395226
3794,0110478,0.0625
3797,0110460,0.03225806451612903
3804,0134668,0.015104808877928484
3817,0130054,0.03566433566433566
3822,0111856,0.0
3826,0115238,0.0
3842,0125161,0.16937354988399073
3860,0125716,0.15557337610264635
3864,0119859,0.0
3885,0108944,0.02040816326530612
3889,0126748,0.0
3896,0110189,0.028481012658227847
3898,0149187,0.05240174672489083
3905,0135905,0.06855081178592905
3906,0115667,0.3538011695906433
3909,0136051,0.04523934771173067
3910,0100065,0.0
3918,0130146,0.24476987447698745
3921,0137943,0.06067251461988304
3922,0130179,0.05405405405405406
3932,0130286,0.0
3934,0136515,0.008108108108108109
3938,0130583,0.009567546880979716
3942,0130096,0.006309148264984227
3966,0137588,0.01429108687476495
3969,0130849,0.009096816114359974
3977,0111799,0.030120481927710843
3982,0114421,0.014598540145985401
3987,0137810,0.007985803016858917
3989,0138289,0.012195121951219513
4651,0330035,0.07142857142857142
4652,0330753,0.043348281016442454
4653,0334755,0.023923444976076555
6805,0430827,0.08092485549132948
6810,0134213,0.46078431372549017
6821,0431676,0.0790722192936215
6825,0431502,0.4602272727272727
6828,0120394,0.0625
6840,0437558,0.045454545454545456
6847,0433201,0.012232415902140673
6852,0433953,0.03138373751783167
6865,0434803,0.029585798816568046
6866,0435602,0.05368421052631579
6882,0437350,0.07663551401869159
7685,0532507,0.010471204188481676
7691,9010745,0.0
8534,0631259,0.037037037037037035
8539,0634758,0.2892561983471074
8544,0635250,0.048728813559322036
11200,0107524,0.0
11201,0730283,0.00392156862745098
11202,0731125,0.0007380073800738007
11203,0733725,0.0012422360248447205
11204,0734244,0.00253592561284869
11208,0730861,0.02271604938271605
11215,0730465,0.013416387158600862
11218,0117218,0.005706134094151213
11260,0731380,0.002061005770816158
11270,0737023,0.08602150537634409
11282,0730457,0.04833141542002301
11283,0107797,0.02077922077922078
11284,0730572,0.046511627906976744
11286,0733980,0.02911306702775897
11288,0730549,0.026876737720111215
11307,0731646,0.004422604422604423
11308,0731836,0.016587677725118485
11328,0734566,0.031875
11330,0730044,0.0018796992481203006
11355,0737809,0.022707423580786028
11383,0735407,0.07409440175631174
11390,0730051,0.003740224413464808
11398,0113118,0.000975609756097561
11409,0734368,0.002416626389560174
11416,0736504,0.0009694619486185168
11425,0132233,0.0
11441,0732164,0.023276633840644583
11445,0732941,0.019041365725541694
11455,0730598,0.014723926380368098
11458,0733659,0.056647398843930635
11461,0101477,0.005145797598627788
11468,0730291,0.003401360544217687
11478,0735316,0.03150787696924231
11482,0735902,0.049754730203223546
12060,0830042,0.28125
12064,0833004,0.06116207951070336
14159,0930123,0.04819277108433735
14160,0930131,0.0
14161,0932756,0.0338409475465313
14164,0930081,0.009655751469353484
14165,0930214,0.015625
14166,0936302,0.008710801393728223
