,School Code,SPED_ENR_N
0,0130625,19
1,0106401,19
2,0130229,235
3,0130450,92
4,0131177,357
5,0132225,276
6,0133876,6
7,0132746,24
8,0130062,170
9,0134270,158
10,0134452,207
11,0135244,95
12,0138693,239
13,0108670,47
14,0133629,215
15,0135319,262
16,0138339,198
17,0133397,282
18,0134536,280
19,0130054,196
20,0110460,16
21,0110478,11
22,0134668,370
23,0100065,51
24,0108944,55
25,0110189,62
26,0111856,19
27,0115238,72
28,0115667,5
29,0119859,13
30,0125161,138
31,0125716,155
32,0126748,24
33,0130146,19
34,0130179,14
35,0135905,233
36,0136051,286
37,0137943,226
38,0149187,44
39,0130286,34
40,0136515,80
41,0137588,363
42,0111799,7
43,0114421,74
44,0130849,179
45,0137810,151
46,0132704,196
47,0130096,151
48,0130583,172
49,0138289,84
50,0330035,6
51,0330753,92
52,0334755,127
53,0134213,13
54,0430827,24
55,0120394,54
56,0431502,17
57,0431676,263
58,0437558,267
59,0433201,35
60,0434803,187
61,0435602,157
62,0437350,85
63,0433953,85
64,9010745,5
65,0532507,82
66,0631259,42
67,0634758,20
68,0635250,54
69,0731380,207
70,0107524,26
71,0730283,185
72,0731125,178
73,0733725,182
74,0734244,125
75,0117218,71
76,0730465,359
77,0730861,322
78,0737023,49
79,0107797,311
80,0730457,376
81,0730572,20
82,0733980,509
83,0730549,183
84,0730044,153
85,0731646,215
86,0731836,221
87,0734566,246
88,0737809,158
89,0735407,395
90,0101477,43
91,0730291,2
92,0730598,90
93,0732164,187
94,0732941,196
95,0733659,94
96,0735316,186
97,0735902,176
98,0113118,185
99,0730051,260
100,0734368,234
101,0736504,310
102,0132233,39
103,0830042,9
104,0833004,142
105,0930123,40
106,0930131,8
107,0930081,222
108,0930164,196
109,0930214,23
110,0932756,182
111,0936302,259
112,0937805,125
113,0109991,282
114,0136291,22
115,0113555,169
116,1030196,185
117,1030501,198
118,1030683,277
119,1031053,378
120,1032150,80
121,0108555,10
122,0114553,3
123,0132134,11
124,1030279,310
125,1030295,71
126,1030642,25
127,1030675,324
128,1030717,35
129,1031897,229
130,1032507,279
131,1032911,339
132,1034214,299
133,1035831,327
134,6112619,23
135,0124727,5
136,1033695,74
137,0108092,48
138,0126292,4
139,1035310,135
140,0140434,2
141,1033950,28
142,0126870,9
143,1034990,108
144,0136499,49
145,0141291,87
146,1036094,201
147,1036672,186
148,0136523,175
149,1030121,61
150,0140509,222
151,1030626,179
152,1030790,83
153,1035112,10
154,1033422,3
155,1033430,153
156,1030493,61
157,1037456,44
158,1036938,51
159,1035575,42
160,1030535,64
161,1038306,116
162,1136209,5
163,1132109,3
164,1132851,60
165,1135656,86
166,1133701,40
167,0106203,5
168,0107110,34
169,1230705,131
170,1235209,105
171,0108688,5
172,1233402,143
173,1234004,61
174,1237007,30
175,1232909,21
176,1232206,165
177,1330117,3
178,1331404,289
179,1332154,18
180,1332204,306
181,1332501,51
182,1330133,250
183,1333004,283
184,1335306,50
185,1335900,178
186,1337609,36
187,0117994,97
188,0128447,33
189,0128454,34
190,1431352,2
191,1434901,12
192,1436203,5
193,1431600,81
194,0100529,99
195,0116384,167
196,1531672,94
197,0100198,237
198,0110999,207
199,0116392,239
200,0116400,281
201,0141101,234
202,1530252,202
203,1530344,205
204,1530369,237
205,1530385,270
206,1530476,222
207,1530708,395
208,1532290,331
209,1532605,252
210,1533330,287
211,1533538,76
