,School Code,Stability Rate (percent)
0,0130625,72.6
1,0130229,96.7
2,0106401,97.7
3,0130450,97.2
4,0131177,92.9
5,0132225,94.5
6,0133876,54.0
7,0132704,96.5
8,0132746,86.9
9,0130062,95.6
10,0134270,94.6
11,0134452,88.3
12,0135244,96.3
13,0138693,91.2
14,0133629,84.5
15,0108670,94.7
16,0135319,90.3
17,0138339,79.5
18,0133397,94.5
19,0134536,93.5
20,0110478,50.0
21,0110460,60.2
22,0134668,91.2
23,0130054,92.2
24,0111856,93.9
25,0115238,90.8
26,0125161,72.4
27,0125716,86.9
28,0119859,62.8
29,0108944,91.8
30,0126748,85.6
31,0110189,72.5
32,0149187,72.9
33,0135905,89.8
34,0115667,73.9
35,0136051,90.4
36,0100065,92.9
37,0130146,42.1
38,0137943,84.3
39,0130179,49.5
40,0130286,88.2
41,0136515,97.3
42,0130583,97.1
43,0130096,96.3
44,0137588,89.7
45,0130849,95.2
46,0111799,86.7
47,0114421,94.2
48,0137810,85.4
49,0138289,91.0
50,0330035,10.7
51,0330753,86.5
52,0334755,86.1
53,0430827,91.3
54,0134213,13.2
55,0431676,86.9
56,0431502,30.1
57,0120394,86.4
58,0437558,90.4
59,0433201,95.1
60,0433953,93.9
61,0434803,85.4
62,0435602,78.4
63,0437350,80.2
64,0532507,90.7
65,9010745,25.0
66,0631259,87.6
67,0634758,96.6
68,0635250,93.9
69,0107524,63.6
70,0730283,96.9
71,0731125,97.9
72,0733725,96.0
73,0734244,97.8
74,0730861,74.5
75,0730465,76.6
76,0117218,93.0
77,0731380,94.8
78,0737023,89.0
79,0730457,90.3
80,0107797,93.6
81,0730572,53.7
82,0733980,92.3
83,0730549,89.5
84,0731646,91.1
85,0731836,85.2
86,0734566,78.4
87,0730044,94.4
88,0737809,84.5
89,0735407,85.2
90,0730051,97.0
91,0113118,97.9
92,0734368,97.1
93,0736504,96.3
94,0132233,89.9
95,0732164,88.9
96,0732941,92.3
97,0730598,89.6
98,0733659,75.7
99,0101477,91.2
100,0730291,98.3
101,0735316,87.4
102,0735902,83.0
103,0830042,18.8
104,0833004,82.2
105,0930123,74.4
106,0930131,5.3
107,0932756,92.0
108,0930081,96.9
109,0930214,84.8
110,0936302,94.3
111,0930164,90.1
112,0937805,88.7
113,1030535,90.3
114,1030626,82.6
115,1030790,87.9
116,0140509,84.8
117,1035112,30.2
118,1030501,92.0
119,1030683,90.0
120,1031053,88.9
121,0113555,93.6
122,1030196,90.0
123,1030121,90.1
124,1032150,92.3
125,0136291,91.1
126,0109991,50.5
127,1030279,84.6
128,0108555,96.0
129,1031897,85.0
130,1030295,94.0
131,1030717,84.2
132,1032507,76.4
133,6112619,37.8
134,1032911,79.4
135,1034214,79.8
136,0132134,87.9
137,1035831,77.6
138,1030642,58.3
139,1030675,84.7
140,0114553,97.6
141,1037456,91.3
142,1033422,45.3
143,1033430,87.5
144,0108092,87.4
145,1035310,90.2
146,0126292,96.1
147,1033695,93.7
148,0124727,46.7
149,1033950,95.8
150,0140434,60.0
151,1030493,88.8
152,1034990,88.2
153,0126870,24.1
154,0136499,44.3
155,1035575,90.4
156,1036094,89.4
157,0141291,91.5
158,1036672,85.8
159,1036938,76.6
160,0122473,15.3
161,1038306,87.6
162,0136523,47.2
163,1133701,96.2
164,1135656,86.7
165,1136209,77.6
166,1132109,73.1
167,1132851,90.1
168,1232206,89.5
169,1232909,93.9
170,0108688,91.9
171,1233402,83.7
172,0106203,2.0
173,1234004,88.0
174,1230085,40.0
175,1230705,89.3
176,1235209,87.1
177,0107110,91.5
178,1237007,90.3
179,1331404,87.1
180,1332154,29.1
181,1332204,91.1
182,1332501,91.9
183,1333004,89.8
184,1330133,90.6
185,1335306,90.3
186,1330117,5.5
187,1335900,93.8
188,1337609,79.4
189,1431352,93.5
190,0119081,18.5
191,1431600,89.4
192,0128454,41.9
193,0128447,21.9
194,0117994,27.3
195,1434901,87.2
196,1436203,87.5
197,0100529,90.7
198,1531672,91.9
199,0116384,91.0
200,1530401,85.0
201,1530252,88.0
202,1530708,79.6
203,1530369,89.9
204,0141101,84.4
205,1532290,80.7
206,1532605,83.1
207,0110999,92.2
208,0100198,87.7
209,1533330,87.7
210,0116392,84.5
211,1533538,87.9
212,1530476,92.9
213,0116400,83.1
214,1534775,78.1
215,1530385,87.7
216,1535087,86.7
217,1535392,82.4
218,1530344,90.6
219,1536606,80.2
220,0127209,29.8
221,1533843,66.7
222,1534155,91.7
223,1530146,29.5
224,0114512,74.3
225,1531367,86.4
226,1534957,80.0
227,1535905,85.8
228,1536135,85.8
229,1536440,84.0
230,1632207,87.4
231,1630151,12.7
232,1634401,87.2
233,0137901,37.5
234,1630169,89.2
235,0118919,90.1
236,0136556,53.1
