,SchoolCode,CumulativeEnrollment,Total Expulsions,Total Suspensions
0,0130625,124,0,5
1,0130229,1904,0,24
2,0106401,213,0,0
3,0130450,1144,0,9
4,0131177,3303,1,101
5,0132225,2967,0,99
6,0133876,63,0,0
7,0132704,2816,0,73
8,0132746,176,0,15
9,0130062,2681,0,65
10,0134270,2220,0,29
11,0134452,1353,3,111
12,0135244,1833,0,18
13,0138693,2052,3,117
14,0133629,1687,7,126
15,0108670,590,0,26
16,0135319,1952,1,109
17,0138339,1696,4,338
18,0133397,2200,5,72
19,0134536,1885,3,80
20,0110478,16,0,3
21,0110460,186,0,18
22,0134668,3244,1,130
23,0130054,1430,2,85
24,0111856,393,0,0
25,0115238,413,1,13
26,0125161,862,1,163
27,0125716,1247,0,114
28,0119859,133,0,0
29,0108944,294,0,13
30,0126748,187,0,9
31,0110189,316,1,77
32,0149187,229,3,44
33,0135905,1663,1,66
34,0115667,342,0,3
35,0136051,1901,1,120
36,0100065,312,0,12
37,0130146,478,2,32
38,0137943,1368,2,65
39,0130179,111,0,10
40,0130286,68,0,5
41,0136515,740,0,0
42,0130583,2613,1,49
43,0130096,2219,0,52
44,0137588,2659,2,214
45,0130849,1539,0,80
46,0111799,166,0,6
47,0114421,685,0,96
48,0137810,1127,0,108
49,0138289,410,0,24
50,0330035,28,0,2
51,0330753,669,0,83
52,0334755,627,1,65
53,0430827,173,0,4
54,0134213,204,0,0
55,0431676,1897,10,117
56,0431502,176,2,71
57,0120394,352,0,8
58,0437558,2068,6,56
59,0433201,327,0,15
60,0433953,701,1,64
61,0434803,1352,2,114
62,0435602,950,2,36
63,0437350,535,0,94
64,0532507,573,0,77
65,9010745,16,0,0
66,0631259,459,1,13
67,0634758,121,0,5
68,0635250,472,0,34
69,0107524,88,0,1
70,0730283,1275,0,32
71,0731125,1355,0,28
72,0733725,1610,0,50
73,0734244,1183,0,22
74,0730861,2025,0,264
75,0730465,2087,0,162
76,0117218,701,0,42
77,0731380,2426,0,72
78,0737023,372,2,15
79,0730457,2607,3,209
80,0107797,2695,6,65
81,0730572,258,0,0
82,0733980,2954,8,154
83,0730549,1079,4,64
84,0731646,2035,0,131
85,0731836,1266,0,39
86,0734566,1600,0,159
87,0730044,1596,0,36
88,0737809,1145,0,118
89,0735407,3644,3,270
90,0730051,2941,0,36
91,0113118,3075,0,51
92,0734368,2069,1,42
93,0736504,2063,0,19
94,0132233,356,0,32
95,0732164,1117,0,73
96,0732941,1523,0,51
97,0730598,815,0,57
98,0733659,865,3,165
99,0101477,583,0,17
100,0730291,294,0,0
101,0735316,1333,1,129
102,0735902,1427,0,411
103,0830042,64,0,4
104,0833004,981,0,54
105,0930123,332,0,1
106,0930131,94,0,0
107,0932756,1182,4,112
108,0930081,2382,2,58
109,0930214,128,0,1
110,0936302,1722,3,111
111,0930164,1078,1,148
112,0937805,1115,0,56
113,1030535,719,0,33
114,1030626,1938,7,51
115,1030790,670,0,21
116,0140509,2274,2,186
117,1035112,159,0,74
118,1030501,2670,2,92
119,1030683,3266,2,195
120,1031053,2915,0,152
121,0113555,2446,0,57
122,1030196,2294,1,136
123,1030121,708,3,19
124,1032150,854,1,20
125,0136291,305,0,20
126,0109991,2744,0,0
127,1030279,2642,7,305
128,0108555,248,0,12
129,1031897,2553,6,186
130,1030295,1209,0,43
131,1030717,38,0,0
132,1032507,2148,3,435
133,6112619,37,0,18
134,1032911,2284,2,240
135,1034214,2297,8,290
136,0132134,306,0,10
137,1035831,2453,8,187
138,1030642,259,0,5
139,1030675,3090,13,364
140,0114553,500,0,0
141,1037456,389,0,15
142,1033422,87,0,1
143,1033430,1567,0,84
144,0108092,665,0,69
145,1035310,1873,0,163
146,0126292,259,0,1
147,1033695,1108,0,43
148,0124727,92,0,0
149,1033950,167,0,7
150,0140434,15,0,3
151,1030493,1118,7,104
152,1034990,934,6,103
153,0126870,79,0,5
154,0136499,438,0,0
155,1035575,520,0,34
156,1036094,2569,0,200
157,0141291,1511,0,63
158,1036672,1832,1,141
159,1036938,406,1,41
160,0122473,118,0,0
161,1038306,1161,0,59
162,0136523,2081,0,9
163,1133701,313,0,9
164,1135656,766,2,71
165,1136209,49,0,0
166,1132109,26,0,19
167,1132851,444,0,49
168,1232206,1224,5,121
169,1232909,148,0,2
170,0108688,161,0,3
171,1233402,876,1,113
172,0106203,49,0,2
173,1234004,276,0,37
174,1230085,5,0,0
175,1230705,1062,0,66
176,1235209,599,1,61
177,0107110,117,1,16
178,1237007,229,0,11
179,1331404,1961,15,193
180,1332154,182,0,7
181,1332204,2865,1,74
182,1332501,360,0,35
183,1333004,2131,1,40
184,1330133,1943,0,80
185,1335306,539,1,28
186,1330117,73,0,0
187,1335900,1477,1,68
188,1337609,204,0,27
189,1431352,31,0,0
190,0119081,27,0,0
191,1431600,641,0,32
192,0128454,413,0,4
193,0128447,616,0,2
194,0117994,1552,0,0
195,1434901,94,0,9
196,1436203,24,0,0
197,0100529,1389,1,37
198,1531672,1277,1,8
199,0116384,1451,1,40
200,1530401,267,0,18
201,1530252,2843,0,217
202,1530708,3436,0,582
203,1530369,2359,1,178
204,0141101,2118,0,224
205,1532290,2595,0,543
206,1532605,2240,2,378
207,0110999,2161,2,123
208,0100198,2386,1,172
209,1533330,2698,0,253
210,0116392,2535,3,293
211,1533538,545,0,65
212,1530476,2463,0,113
213,0116400,2248,3,451
214,1534775,2437,1,571
215,1530385,2743,1,324
216,1535087,1694,0,102
217,1535392,2323,4,334
218,1530344,2530,0,141
219,1536606,2422,7,292
220,0127209,904,0,0
221,1533843,99,0,25
222,1534155,1078,0,27
223,1530146,78,1,9
224,0114512,703,9,254
225,1531367,1617,1,172
226,1534957,1034,25,79
227,1535905,1146,0,52
228,1536135,1341,2,55
229,1536440,1749,0,0
230,1632207,982,1,103
231,1630151,79,0,4
232,1634401,1588,24,113
233,0137901,262,0,0
234,1630169,1400,19,120
235,0118919,1229,8,41
236,0136556,1618,0,0
237,1635606,1950,23,211
238,0110205,260,0,4
239,0136234,200,0,1
240,1630953,813,7,134
241,1734359,547,4,34
242,1735000,1043,21,252
243,1732304,369,7,52
244,1736008,439,0,47
245,1737006,337,0,36
246,1833409,56,0,23
247,1833805,859,0,88
248,1838507,58,0,12
249,1995596,21,0,0
250,1930361,1456,3,146
251,1930056,2050,1,19
252,1933159,1710,2,68
253,1931641,212,0,27
254,0127100,4970,1,8
255,0134619,108,0,0
256,1995786,420,0,28
257,1930163,2140,0,69
258,1934553,2277,2,12
259,1937697,1852,1,44
260,1930213,1722,14,554
261,1996537,1156,1,7
262,1931732,1119,3,166
263,0108407,2920,12,460
264,1995398,2943,3,222
265,1995844,3020,6,491
266,1995406,1670,3,202
267,1936624,2473,2,374
268,1995968,50,0,24
269,1937051,3357,11,519
270,0111872,675,0,0
271,0100081,2571,3,436
272,1930288,3001,2,24
273,1930528,1731,0,229
274,1930601,1367,1,67
275,1996479,1178,0,1
276,1938166,1713,8,186
277,1930700,781,0,40
278,1930981,1280,0,46
279,1931088,1952,0,48
280,1937739,1295,1,31
281,1931187,2579,0,136
282,0131573,178,0,0
283,1931237,2352,0,75
284,1995877,42,0,1
285,0118521,122,0,0
286,0128488,1363,0,0
287,1933951,1779,1,38
288,1934926,1513,0,39
289,1935048,2137,1,18
290,0128496,1240,0,0
291,1930312,125,0,30
292,1931666,1338,0,21
293,1931823,2121,0,51
294,1931567,1002,0,54
295,1995695,379,0,18
296,0132969,565,0,4
297,1931963,1570,0,56
298,1932326,1719,0,58
299,1996057,141,0,1
300,1932086,1114,1,38
301,1936418,1293,0,56
302,1938372,1654,0,32
303,1932201,2051,1,38
304,1932441,4255,0,202
305,1939164,3777,0,185
306,0134858,998,0,37
307,1932482,779,0,46
308,1930320,1719,0,82
309,1932664,1449,0,78
310,1996123,53,0,17
311,1932680,1191,0,38
312,1937481,1766,0,51
313,1995661,1184,0,22
314,1932706,2130,4,180
315,1930353,59,0,0
316,1932763,1257,0,17
317,1996131,1143,0,8
318,1932144,2678,0,86
319,1933530,2214,1,159
320,1934082,1705,0,119
321,1933597,2117,4,33
322,1939677,143,2,29
323,1939834,1516,1,71
324,1934801,865,0,14
325,1935246,1668,2,75
326,1996560,21,0,8
327,1939925,779,1,41
328,0100354,580,0,3
329,1996586,597,0,1
330,1996529,339,0,0
331,1934231,924,0,96
332,1930080,1750,1,17
333,1931781,1759,0,21
334,1996438,500,0,1
335,1996313,639,0,0
336,0100602,590,0,16
337,1995935,1792,0,231
338,1995539,674,0,1
339,0131938,72,0,0
340,0127381,698,0,24
341,0132324,558,0,0
342,1934470,2470,1,145
343,1934678,2491,1,192
344,1935758,3500,0,128
345,1936947,4067,0,123
346,1996503,417,0,13
347,0135525,378,0,96
348,1939875,3542,0,249
349,0136119,336,1,2
350,0138669,240,1,3
351,0140681,472,0,7
352,0134346,146,0,6
353,1995869,485,0,1
354,1933399,556,0,8
355,0121939,111,0,1
356,1935121,980,0,0
357,0126615,494,1,3
358,0126623,463,0,0
359,0118588,1427,8,25
360,1931385,102,0,0
