,School Code,STU_TCH_RATIO
0,0130625,22.1
1,0106401,27.4
2,0130229,23.8
3,0130450,18.8
4,0131177,18.1
5,0132225,23.6
6,0133876,12.5
7,0132746,11.7
8,0130062,25.2
9,0134270,25.4
10,0134452,20.6
11,0135244,24.9
12,0138693,24.3
13,0108670,25.4
14,0133629,19.1
15,0135319,21.7
16,0138339,17.8
17,0133397,21.8
18,0134536,21.7
19,0130054,25.5
20,0110460,16.8
21,0110478,*
22,0134668,23.8
23,0100065,21.1
24,0108944,14
25,0110189,11
26,0111856,24.1
27,0115238,14.5
28,0115667,9.2
29,0119859,*
30,0125161,13.9
31,0125716,16.4
32,0126748,12.9
33,0130146,20.3
34,0130179,19.3
35,0135905,18.4
36,0136051,17.4
37,0137943,14.5
38,0149187,14.3
39,0130286,13.5
40,0136515,17.9
41,0137588,21.7
42,0111799,15
43,0114421,15.6
44,0130849,24.5
45,0137810,20.3
46,0132704,23.1
47,0130096,22.3
48,0130583,23.4
49,0138289,15
50,0330035,7.5
51,0330753,21.3
52,0334755,19.1
53,0134213,21.6
54,0430827,12.5
55,0120394,14.7
56,0431502,9.8
57,0431676,22.5
58,0437558,22.6
59,0433201,16
60,0434803,19.6
61,0435602,19.6
62,0437350,18.7
63,0433953,19.5
64,9010745,5.3
65,0532507,16.8
66,0631259,20.2
67,0634758,11.1
68,0635250,17.5
69,0731380,25.2
70,0107524,9.2
71,0730283,19.5
72,0731125,19.8
73,0733725,19.5
74,0734244,18.9
75,0117218,24.9
76,0730465,23.2
77,0730861,20.9
78,0737023,18.5
79,0107797,22.3
80,0730457,21.8
81,0730572,13.3
82,0733980,21.8
83,0730549,21.2
84,0730044,23.1
85,0731646,22.9
86,0731836,19.6
87,0734566,19.9
88,0737809,19
89,0735407,21.5
90,0101477,19.5
91,0730291,30.6
92,0730598,23.4
93,0732164,22.6
94,0732941,23.4
95,0733659,18.9
96,0735316,24.3
97,0735902,22.1
98,0113118,24.8
99,0730051,24.8
100,0734368,21.8
101,0736504,22.7
102,0132233,27.8
103,0830042,10.8
104,0833004,19.1
105,0930123,11.9
106,0930131,6.1
107,0930081,25.5
108,0930164,21.2
109,0930214,24.3
110,0932756,20.8
111,0936302,23.1
112,0937805,19.5
113,0109991,25.3
114,0136291,11.6
115,0113555,21.4
116,1030196,20.1
117,1030501,21.4
118,1030683,22.8
119,1031053,19.4
120,1032150,20.3
121,0108555,22.1
122,0114553,24.9
123,0132134,21.7
124,1030279,20.5
125,1030295,18.1
126,1030642,18.1
127,1030675,21.2
128,1030717,4.3
129,1031897,21.1
130,1032507,17.4
131,1032911,18.8
132,1034214,18.3
133,1035831,17.6
134,6112619,3.8
135,0124727,33.5
136,1033695,19.7
137,0108092,18.8
138,0126292,32.5
139,1035310,23.9
140,0140434,12
141,1033950,12.5
142,0126870,11.1
143,1034990,19
144,0136499,19.9
145,0141291,25.2
146,1036094,23.1
147,1036672,19.6
148,0136523,25.3
149,1030121,18.9
150,0140509,22.9
151,1030626,20.6
152,1030790,15.9
153,1035112,16
154,1033422,10.4
155,1033430,21.8
156,1030493,22.1
157,1037456,14.5
158,1036938,17
159,1035575,15.3
160,1030535,20.8
161,0122473,32.5
162,1038306,20.2
163,1136209,8.3
164,1132109,4.3
165,1132851,16.3
166,1135656,18.4
167,1133701,15.7
168,0106203,6.9
169,0107110,21.9
170,1230705,18.9
171,1235209,16.6
172,0108688,23.1
173,1233402,20.5
174,1234004,15.1
175,1237007,14.6
176,1232909,11.5
177,1230085,1
178,1232206,19.3
179,1330117,8.3
180,1331404,23.3
181,1332154,9.9
182,1332204,22.3
183,1332501,15.7
184,1330133,19.8
185,1333004,21.2
186,1335306,15.2
187,1335900,23.1
188,1337609,11.8
189,0117994,21.5
190,0128447,41.3
191,0128454,19.2
192,1431352,6.7
193,1434901,11.6
194,1436203,9.9
195,0119081,*
196,1431600,18.3
197,0100529,22.6
198,0116384,22.6
199,1531672,21
200,0100198,23.1
201,0110999,26.1
202,0116392,26.1
203,0116400,24.4
204,0141101,25
205,1530252,25.9
206,1530344,27.6
207,1530369,25.1
208,1530385,26.9
209,1530476,26.7
210,1530708,25.4
211,1532290,24.2
212,1532605,24.2
213,1533330,24
214,1533538,17.4
215,1534775,25.3
216,1535087,21.7
217,1535392,24.2
218,1536606,27.4
219,0127209,26.4
220,1533843,8.4
221,0114512,22.9
222,1534957,18.6
223,1535905,18.4
224,1536135,22.7
225,1536440,20.8
226,1531367,20.5
227,1530146,19.5
228,1534155,23
229,1530401,20.5
230,1632207,22
231,0118919,26.3
232,0137901,16.3
233,1630151,10.9
234,1630169,21.6
235,1634401,23.5
236,0136556,25.5
237,0110205,18.4
238,0136234,15.7
239,1635606,20.4
240,1630953,25
241,1734359,17.9
242,1735000,21.6
243,1732304,16.2
244,1736008,18.3
245,1737006,18.4
246,1833805,20.3
247,1838507,10.8
248,1833409,11.2
249,0121939,7.9
250,0134346,14.4
251,0136119,15.7
252,0138669,31.8
253,0140681,16.4
254,1933399,11.7
255,1995869,20.6
256,1930056,23.9
257,1930361,18.6
258,1931641,10.7
259,1933159,22.5
260,1995596,4.3
261,0100081,22.5
262,0108407,24.7
263,0111872,26.5
264,1930213,21.5
265,1931732,22
266,1936624,21.5
267,1937051,27.5
268,1995398,25
269,1995406,21.5
270,1995844,24.9
271,1995968,3.3
272,1996537,23.8
273,1930288,24.8
274,1930528,20.4
275,1930601,19.6
276,1938166,20.3
277,1996479,25.5
278,1930700,18.6
279,1930981,15
280,1931088,26.1
281,1937739,21.4
282,0131573,18.7
283,1931187,25.6
