Name,Ranking,City,School District,Graduation Rate,College Readiness,Enrollment
Whitney High School,#1,Cerritos,Abc Unified School District,99%,96.8,691
Oxford Academy,#2,Cypress,Anaheim Union High School District,99%,97.5,831
Science Academy Stem Magnet,#3,North Hollywood,Los Angeles Unified School District,91%,100,226
Dr. Richard A. Vladovic Harbor Teacher Preparation Academy,#4,Wilmington,Los Angeles Unified School District,98%,98.8,447
California Academy of Mathematics and Science,#5,Carson,Long Beach Unified School District,98%,94.5,667
Riverside Stem Academy,#6,Riverside,Riverside Unified School District,94%,89.9,242
University High School (Fresno),#7,Fresno,University High District,99%,89.7,484
Dr. T.J. Owens Gilroy Early College Academy,#8,Gilroy,Gilroy Unified School District,100%,88.8,290
Pacific Collegiate Charter,#9,Santa Cruz,Pacific Collegiate Charter District,94%,94.1,340
Lynbrook High School,#10,San Jose,Fremont Union High,98%,87.0,1720
Lowell High School,#11,San Francisco,San Francisco Unified School District,98%,86.3,2540
Mission San Jose High School,#12,Fremont,Fremont Unified School District,95%,85.1,1822
Eunice Sato Academy of Math & Science,#13,Long Beach,Long Beach Unified School District,96%,85.7,502
Canyon Crest Academy,#14,San Diego,San Dieguito Union High,99%,82.4,2183
Monta Vista High School,#15,Cupertino,Fremont Union High,99%,81.6,1636
Western Center Academy,#16,Hemet,Hemet Unified School District,100%,77.1,341
Girls Academic Leadership Academy Dr. Michelle King School STEM,#17,Los Angeles,Los Angeles Unified School District,100%,75.0,367
Technology High School,#18,Rohnert Park,Cotati-Rohnert Park Unified School District,91%,81.6,338
Preuss School UCSD,#19,La Jolla,Preuss School UCSD District,98%,79.8,481
La Canada High School,#20,La Canada,La Canada Unified School District,99%,75.2,1359
University Preparatory,#21,Victorville,Victor Valley Union High,100%,76.1,731
West Campus High School,#22,Sacramento,Sacramento City Unified School District,100%,78.8,881
Troy High School,#23,Fullerton,Fullerton Joint Union High,94%,71.7,2545
Henry M. Gunn High School,#24,Palo Alto,Palo Alto Unified School District,97%,75.3,1713
Saratoga High School,#25,Saratoga,Los Gatos-Saratoga Joint Union High,97%,70.4,1198
Western Sierra Collegiate Academy,#26,Rocklin,Western Sierra Collegiate Academy District,97%,76.8,529
Dougherty Valley High School,#27,San Ramon,San Ramon Valley Unified School District,98%,73.9,3118
University Preparatory Academy Charter,#28,San Jose,University Preparatory Academy Charter District,98%,76.3,461
Cupertino High School,#29,Cupertino,Fremont Union High,97%,68.3,1811
Campolindo High School,#30,Moraga,Acalanes Union High,99%,75.9,1332
Miramonte High School,#31,Orinda,Acalanes Union High,98%,77.5,1188
Leland High School,#32,San Jose,San Jose Unified School District,98%,73.5,1519
Orange County School of the Arts (OCSA),#33,Santa Ana,OCSA District,100%,75.7,1718
